ImageID,Labels,Caption
111.jpg,0 5,a person holding a tray full of orange carrots
114.jpg,0 1 2 3 5 7,a beautiful young woman riding on the back of a motorcycle
115.jpg,0 17 16,a big cat and a small cat sitting down with their backs turned
118.jpg,0 18,a man riding on the back of a horse
120.jpg,0,a man flying a kite in a cloudy blue sky
122.jpg,2 5,a wide panned shot of london at daytime
124.jpg,7 0 17,a person on a four-wheeler herding sheep in the snow
125.jpg,0,two adults and a child on skis in the snow
128.jpg,0 8,a man is sitting in a boat on a river and drinking a bottle of water
129.jpg,0,a person on a court with a tennis racket
132.jpg,0 14,a young man riding a skateboard up the side of a ramp
134.jpg,8 0,a couple of boats are on a a river
138.jpg,7 9 2,a stalk of broccoli sitting on the dashboard of a car
139.jpg,0 2 5 7 9,a blue red and white truck and some buildings
141.jpg,0,the homemade pizza just came out of the oven
143.jpg,6,a wagon rides on a track in an old town
144.jpg,0,a woman with her arms around a man holding a frisbee in a field
147.jpg,0 2,two girls sit on the ground looking at their phones
151.jpg,17,a dog sitting on top of a toilet
153.jpg,0 18,the people is  riding horses on the water
155.jpg,0,two men riding skis down a snow covered ski slope
157.jpg,0 17,a man kneeling down next to a brown dog
158.jpg,2,an open brown refrigerator sitting on an asphalt street
162.jpg,0,people sit along tables in chairs with bags
163.jpg,0 5,a yellow and red bus traveling past a tall building
166.jpg,15,a zebra and and ostrich are next to each other
167.jpg,0,a massive crowd of people standing on top of a sandy beach
169.jpg,14,a snow covered park bench in a snow covered park
170.jpg,0,two female friends share a chocolate covered doughnut
172.jpg,0,a man standing on top of a tennis court holding  racquet
173.jpg,0,a room with a rug table and chairs and other items
176.jpg,0 5,a man with a suitcase stands near a street
179.jpg,0,a man sitting in front of a laptop computer
181.jpg,0 17,a man riding on the back of a dog sled
184.jpg,0 2,a car driving on a street in the town center
186.jpg,0 1 18 6,a horse drawn carriage driving down a street
189.jpg,0,a group of people at a table with laptops
191.jpg,0,a man leaning over as he gets ready to serve a ball
192.jpg,0,man holding a wine glass with a small amount of red wine
196.jpg,0,a close up of a person wearing a suit and tie
197.jpg,0 18,a man riding on the back of a brown horse next to a tree
199.jpg,0,there are two girls one of them is washing the dishes
202.jpg,0 14,women hiding from the sun on a city bench
203.jpg,10,a fire hydrant on  concrete pad amid a rock bed
204.jpg,0,small children learning tennis on a modifgied court
208.jpg,7 0 4,a large jetliner sitting on top of an airport tarmac
210.jpg,4,a large passenger jet flying through a blue sky
211.jpg,0 2,a refrigerator between parked cars on a snowy city street
214.jpg,16,a black and white cat sitting on top of  a pillow in a chair
215.jpg,0,a skier jumping through the air and landing in the snow
216.jpg,0,a man with a brown suit sitting at a table with microphone listening
218.jpg,0 17 14,a man in grey shirt with camera on bench next to two dogs
220.jpg,0,some people and a brown and white animal and grass
222.jpg,0,a baseball player swinging a baseball bat over home plate
224.jpg,0 2,a woman sitting in front of a laptop computer
226.jpg,0,snowboarder on large snow covered slope in alpine area
227.jpg,16,a cat standing on top of a wooden table
230.jpg,0,two children lie in bed under a blanket
231.jpg,9 6,a cargo train traveling past large power poles
233.jpg,0,a tennis player getting ready to serve the ball
235.jpg,0,a woman is throwing an orange frisbee to a kid
236.jpg,0,a woman standing on a tennis court holding a racquet
238.jpg,0,a woman standing in front of a kitchen counter
243.jpg,0 5,two buses driving down a curvy street next to a building
245.jpg,0,a group of men standing next to each other dancing
246.jpg,0 1,a reclining lounge chair mounted on a bicycle
249.jpg,0 2 3 7 9,a view of a street closed off with police cars and construction workers
250.jpg,0,a group of people busy at work studying
252.jpg,0,a man in blue shirt sitting on toilet next to sink and mirror
254.jpg,0,several pizzas on plates next to stacks of plates
257.jpg,0,a crowd of young children wearing baseball uniforms
259.jpg,0 2,a man flying a kite on top of a green field
261.jpg,0 3,racing motorcycle's sitting on racks next to each other
262.jpg,0,a man walking on a brick sidewalk with an umbrella
264.jpg,0 1 2,a turquoise compact car with a bicycle on a rack on top of it
266.jpg,0,a person is holding a bucket while another feeds a giraffe
268.jpg,0 2 12,two urban traffic signs adorned with political graffiti
270.jpg,6,a blue and white train traveling down train tracks
272.jpg,0,a baby laughs while sitting at a table
273.jpg,7 0 9 2,a busy side street filled with pedestrians walking by storefronts and dozens of cars riding down the road
277.jpg,15,a bird flying into a side view mirror
278.jpg,0,a baby in diaper laying with a brown teddy bear
279.jpg,0 18,a horse standing with others tied to a tree with a sleigh behind them
281.jpg,0,a man in a grassy field holding a kite
283.jpg,2 13,old parking meter in front of a nail salon
284.jpg,0,a man holding a tennis racquet on a tennis court
286.jpg,0,a lone female surfer rides a small wave
288.jpg,0,a young child holding a baseball bat while wearing a thick jacket
290.jpg,0,two young boys walk through an apple orchard
291.jpg,15,white bird perched on a window looking inside
293.jpg,4,four jets breaking formation in a cloudy sky above power lines
295.jpg,0,a woman flys a kite on a cloudy beach
299.jpg,0,a piece of pottery with ancient images is inside a display case
300.jpg,0,a man holding a teddy bear and a sign next to a man holding a stuffed animal cow and a red phone
303.jpg,0,a man riding a wave on a surfboard in the ocean
305.jpg,0,a goalie standing in front of a soccer goal
307.jpg,15,two birds walking alone a wooden rail at a park
309.jpg,0,man skateboarding on red pavement on his board
311.jpg,0,two men standing on a hill in snow skis
312.jpg,16,a small cat is sitting on top of the luggage
314.jpg,7 0 2,a city street filled with lots of traffic
315.jpg,0,there are three guys playing with a white frisbee
316.jpg,15,a single bird standing on the beach by the water
319.jpg,0,a girl is on first base while another batter is getting ready to bat
320.jpg,7 0 9 2,there is a construction working fixing a street sign
322.jpg,0,a woman standing at a table covered in desserts
324.jpg,17,a dog catching a blue frisbee on a field
325.jpg,0,a man and a woman at the beach in front of the ocean with small waves
327.jpg,2,an elephant standing on a grass covered field
328.jpg,3,a motor bike is parked outside on the gravel road
330.jpg,0,a couple of snowboarders are coming down a hill
332.jpg,0,a man riding a surfboard in the middle of the ocean
333.jpg,17,the dog is wearing a santa claus hat
337.jpg,7 0 5 6,commuter rail crossing bridge with many people walking alongside sidewalk
338.jpg,0,a group of men that are sitting around a table
342.jpg,0,three woman and a man at a restaurant
344.jpg,0,a half eaten piece of pizza sits on a white plate as a hand holding a fork with a piece of pizza on it
346.jpg,0,a tray topped with bowls of different kinds of food
349.jpg,0,a woman leaning over looking into her phone as she gets ready to take a picture
350.jpg,5,a red bus driving down a road next to a store front
351.jpg,0 1 2 5 7 9,a woman riding a bicycle while talking on a cell phone
353.jpg,16,the cat is taking a nap on the back of the couch
357.jpg,0 14,a baseball player has just hit the ball and is about to run towards first base
358.jpg,1,a laptop and mouse on a small table
360.jpg,9 2,headlights from cars traveling up a street road
361.jpg,7 0 18,two photos of an old street with horses and a new street with a truck
363.jpg,0 2 5 7 9,a small transit bus is stopped at the side of the street
364.jpg,0,a little league r  looking down at the dirt
366.jpg,0,a woman hitting a tennis ball on a tennis court
369.jpg,0,mid-air shot of men playing sports indoors in front of an audience
370.jpg,0,a surfer balances on his board as he climbs the face of a wave
372.jpg,0,a man with a bat stands at the base
375.jpg,0,a group of chefs preparing food inside of a kitchen
376.jpg,12,a faded red stop sign sitting on the side of a street
377.jpg,0 18 4,a group of men cutting a giant sheet cake
382.jpg,0 1 5,a person standing in front of a parked bus with a bicycle on it
384.jpg,0 1 2 3 7,a man reading a paper by a cart with banana's on it
386.jpg,0,a person is showing a half eaten doughnut
390.jpg,0,two women and a man wearing a pink shirt drink glasses filled with water
393.jpg,0,a chef preparing food inside of a kitchen near  a window
395.jpg,0,a little girl sitting on top of a bed near pillows
396.jpg,7 2,a road that is lined with traffic cones and signs
397.jpg,2 13,there is a parking pay meter on the sidewalk
398.jpg,0 4,a jumbo jet plane ascending from a runway into the sky
400.jpg,0,a person with some skis in the snow
403.jpg,0,a baseball game in progress with a runner crossing the base
404.jpg,7 0 18,two people riding horses with a truck in the background
405.jpg,16 14,a cat is sitting inside of a dish
409.jpg,0,the young child uses a laptop at a desk
411.jpg,0,people picking up luggage at carousel in the airport
414.jpg,0 2 5,a large white bus on a city road
416.jpg,0,a couple of kids sitting next to a lot of other kids
417.jpg,16,a cat laying on a table next to bottle with a fish in it
418.jpg,0,two homemade pizzas were fixed with different ingredients
421.jpg,0,two women in costume standing next to a man in a suit
423.jpg,0,an observer watches a snowboarder high above the ground
426.jpg,0,two men standing at the end of a tennis court during a doubles match
428.jpg,0 18,some people are going out to have a good time
431.jpg,0,man standing in a living room holding a wii controller in his hand
433.jpg,0,small boy holding up broken umbrella ina parking lot
436.jpg,0,a man that is on a rail with a skateboard
437.jpg,8,a boat traveling through the water towards a rocky shore
439.jpg,0,a bathroom showing the tub pedestal sink and toilet
440.jpg,15,a group of birds in a pine tree looking around
441.jpg,0 1 8,bikes parked next to a canal reflecting lights at night
442.jpg,4,a line of planes on a runway waiting to take off
447.jpg,0,a person with an umbrella walks down the side walk alongside fenced in greenery
449.jpg,0,a man in a hat is holding two cell phones
451.jpg,0 2 3,a motorcycle with a side park parked on dry grass
453.jpg,0,a woman sitting on top of a green couch near a window
454.jpg,0 1 2 7 14,a person doing a skateboarding trick on sidewalk
457.jpg,0,a person that is on a skateboard on some concrete
458.jpg,7 4,an airplane that is on a runway about to fly
460.jpg,0,an advertisement in a magazine of someone trying to cut the power cord on a net-book
461.jpg,16,a living room with a television and three book cases
462.jpg,0 9,there is a line of people in uniform standing outside buildings in new york
464.jpg,0,a laptop computer on a desk with a television playing
465.jpg,16,the cat is sitting inside the packed suitcase
467.jpg,0 2,a man standing in a grassy area flying a kite
470.jpg,0,a large freezer refrigerator combo sitting in a kitchen next to a water dispenser
471.jpg,5,a red double decker bus with palm trees in the background
473.jpg,0,windsurfers on the water their parachutes high in the air
474.jpg,0 14,two pairs of legs in shoes on an asphalt surface
478.jpg,9 12,the stop sign is clearly displayed above the traffic light
479.jpg,7 0 2 3,a man sitting on a motorcycle on a road
482.jpg,0 17,a small dog is holding a brush in its mouth
485.jpg,0,a man kneeling down on a grass field
486.jpg,0 3 5,people scooters and many red and yellow buses
488.jpg,17,a couple of brown dogs laying on top of a couch
489.jpg,7 0 2 10,a person stands on a street corner while steam comes out of a nearby vent
491.jpg,7 6,the blue and white train is being moved by a yellow and green vehicle
492.jpg,17 2,a small dog standing next to a frisbee
493.jpg,2,an open living room with hardwood floors and a fireplace
495.jpg,0,a person in skis is going down a slope
496.jpg,0,a woman holding a pizza pie on a tray in a kitchen
500.jpg,0,a man and a boy reading a book on a bed
501.jpg,0,a guy surfing and riding out underneath a wave
504.jpg,16 14,a black cat laying a blue and red bench
505.jpg,0,two people play tennis against a dark backdrop
506.jpg,16,a table with many different fruits and vegetables
509.jpg,0,a store counter with some food in a building
510.jpg,0,people walking on a street shopping at stores
512.jpg,9 6,a train rests beneath a network of wires
513.jpg,4,many colorful planes sitting next to each other on the runway
516.jpg,0,three tiers of plates with different sandwiches on it on a table in a restaurant
518.jpg,0 14,a man swings the bat in a baseball game
521.jpg,0,a wooden plate and bowl of sauce on a table
522.jpg,0 1 2 5 7 9,a red bus driving down a street next to a crowd of people
525.jpg,0,a couple of men looking at a tablet pc
529.jpg,0 2 5,a blue bus going down a street with houses and buildings on either side
530.jpg,0,people laying in the sun on the beach on a sunny day
532.jpg,0,a baseball player stretching while holding a baseball bat on a baseball field
535.jpg,0,a woman wearing a yellow dress while holding a rainbow umbrella
539.jpg,0 2,a car and some people with umbrellas and a building
540.jpg,5,a number of school buses parked near each other
543.jpg,0 9 5,a red tour bus readies itself for departure
544.jpg,0,a young girl skiing on a snowy slope
546.jpg,17,a dog laying on top of a couch next to a white dog
548.jpg,0 5 7 9 13,a dump truck is traveling though a busy city intersection
549.jpg,18,a horse that is standing in the grass
550.jpg,0,a keyboard is on a table in front of a television
551.jpg,15,a flock of birds gathered around a blue lawn chair
552.jpg,10,"a yellow and blue fire hydrant that has falling into the street with caution"" tape around it"""
554.jpg,0,there is a male skate boarder that is doing a trick
557.jpg,0 17 14,a woman sitting on top of a wooden bench in a park
561.jpg,4,an airplane taking off for flight into the sky
563.jpg,8 2 0,a large yacht is docked near a cruise ship
564.jpg,0 6,a black steam engine train traveling down train tracks
565.jpg,10,a firehose attached to a fire hydrant on a brick lane
567.jpg,0,a man wearing a suit is standing and looking at a book
569.jpg,0,the young man is practicing his tricks on the skateboard
572.jpg,0,a woman playing tennis with a large crowd in the background
574.jpg,6,a very big train and another train car on the tracks
576.jpg,0,people standing in the snow watching a person put a snowboard on
578.jpg,8,a boat anchored in a river near trees
579.jpg,0,a lady talking on her cell phone at an arena
582.jpg,0,a person slices bananas into his bowl
584.jpg,0,the man holds up a remote with a laptop nearby
586.jpg,0,a man on a surf board rides in front of a big wave
588.jpg,0,a man plays guitar and another plays a keyboard and drums
589.jpg,8 17,a raft full of dogs is riding a wave
590.jpg,3,a birthday cake that is decorated with a motorcycle
593.jpg,0 3,a racing motorcycle is being ridden on a road
595.jpg,2 5,a large bus parked on the side of the road
596.jpg,0,a person riding a surf board on a wave
598.jpg,0,a young woman sitting at a table talking on a phone
600.jpg,0,a man and woman on ski's standing in the snow
601.jpg,0 14,two photos top one of men at beach under grass thatched roof the other of men holding their surf boards
603.jpg,0 18,two woman in a bathing suits riding horses on a beach
605.jpg,18,the cows are roaming in the dirt on the farm
606.jpg,16,a wooden floor with various filming equipment next to a bed
608.jpg,0,view of a mirror over the vanity of a sink with glass and toothbrush holder on top
610.jpg,0,a black and white photo of two female skiers in a mountainous landscape
611.jpg,0,a man tossing a frisbee into a metal net
614.jpg,0 2 5,a parking lot filled with lots of buses parked in front of a building
616.jpg,0 3,a motorcycle parked next to a very old fashioned group of people
618.jpg,2,a giraffe standing on top of a lush green field
619.jpg,0,a person that has a lighter in their hand
621.jpg,8 0,asian woman worker sitting on wooden boards in black and white photo
622.jpg,0 2,a man in striped shirt pushing a suitcase down a hill
625.jpg,0 2 12,cars driving in the city at night near a large building
627.jpg,0,a kit flying over a city there is many more people holding kites below
631.jpg,0,a lady with a braid sitting in a beauty parlor
634.jpg,0,a young child on a sofa holding an umbrella
635.jpg,18 0 2 14,a historical photo of people sitting along side a railway
637.jpg,0,child playing boxing video game on the television
639.jpg,0,a group of navy men standing in a kitchen preparing pizza
641.jpg,0,a man poses for a picture with his snowboard
644.jpg,8 17 0,there is a dog sitting on the ground
645.jpg,0,there is a male safer that is seen riding a wave
647.jpg,6,train on horizon with headlights and fog on rails
649.jpg,0,the man is holding a pizza box near two women at a restaurant table
651.jpg,0,a woman posing outside with a grilled hot dog
654.jpg,0,a person sitting on stone steps in front of a church
656.jpg,0,a young man taking a wave with his surfboard
658.jpg,4,a small silver airplane sitting on an airport runway
659.jpg,0,a person riding a surf board on a wave
660.jpg,16,a couple of cats standing in sinks in a room
663.jpg,0,a woman with a small child on snow skis standing on a snow covered trail
664.jpg,0,a person laying on crate on the back of an elephant
666.jpg,15,a brown and a black rooster stand on a bed of hay
667.jpg,0,snowboarder enjoying deep snow on downhill slope on bright sunny day
671.jpg,0,two women walk under an umbrella on a city street
672.jpg,16 0,a young lady holding her kitten and kissing its head
675.jpg,0,a picture of a man swinging a racket at a tennis ball
678.jpg,0 17 1,a young boy and girl ride a bicycle together
680.jpg,0 18 8,a couple of people riding horses on a beach
681.jpg,15,five gray and white birds sand and water
682.jpg,0,a person walking on a street with a umbrella
685.jpg,0,a woman talks on the cell phone while smiling
687.jpg,8 0,a couple of small boats are on the lake
689.jpg,0 2 7 12 13,there is a police officer writing a ticket for a truck
692.jpg,0,a person makes a ski jump off a hill while other skiers look on
695.jpg,0 2,a car with surfboards on the roof driving on the beach
698.jpg,0 6,a yellow orange black train engine and its cars
699.jpg,16 14,an orange and white cat laying on top of a floor
701.jpg,0,a man playing a game while the woman is carrying a bag
702.jpg,0 14,a man standing on one foot while playing a game of tennis
705.jpg,0,two guys making dangerous jumps off a cliff
706.jpg,6,two trains ride next to each other on some tracks
709.jpg,0,surfer taking a wave on a surf board
710.jpg,8,boats docked at a marina by a city
711.jpg,4,an airplane is flying high in the sky
712.jpg,0,some people are walking down a road holding kites
714.jpg,6,a steam powered train traveling through a rural countryside
716.jpg,0,a man riding a surfboard on a wave in the ocean
719.jpg,0 18,three grey horses are walking on a grassy field
720.jpg,0,a small child is sitting while holding a teddy bear
723.jpg,0,a baseball player that just swung a bat at a baseball game
726.jpg,0 6 14,a train traveling into a train station next to a  group of people
727.jpg,15 0,a boy is doing a trick on his skateboard by the water
729.jpg,0,people inside a covered area in the dark one person holding a purple umbrella
730.jpg,2,luggage is lined up in a row outside
733.jpg,16,there is a cat that is looking out of the window
734.jpg,7 0 2 5,a kite flying over a lush green field next to a parking lot
735.jpg,0,a woman wearing sunglasses with a yellow oriental parasol opened over her head
740.jpg,0,a bride and a groom feeding cake to each other
741.jpg,0,several people grouped around an elephant that is behind a fence
742.jpg,16 2,a cat laying down in front of a car
745.jpg,0 18,the handicapped jockeys race their horses over the track
748.jpg,0,a group of guys are playing a competitive game of frisbee
750.jpg,0,a female tennis player is swinging her tennis racquet to hit the ball
752.jpg,16,a kitten with blue eyes sitting on a colorful blanket
753.jpg,0,a person who is standing in front of a laptop
756.jpg,7,two red fire trucks parked next to each other in front of a fire house
757.jpg,7 0 18,a few people in police outfits on horses on a street
759.jpg,0,a man sits in a chair next to a woman who is holding a child
761.jpg,0,a woman sitting at a table eating a meal
762.jpg,0,a woman petting a sheep on top of a green field
765.jpg,0,a man walking across a snow covered park
766.jpg,9,a traffic light hanging from the side of a pole
769.jpg,0 6,a little girl standing in front of a train cake
772.jpg,0,a plate with part of a cake and a knife on it
773.jpg,0 10,a woman walking down a sidewalk past a fire hydrant
775.jpg,8 0,a woman with a frisbee in the water
778.jpg,0 6 14,an old fashioned train engine parked with american flag
779.jpg,0 1 2 13,a man with a computer looks out the window of a cafe
781.jpg,0,a pretty little girl flying a kite on a sandy beach
783.jpg,4,a red and white airplane approaches the airport
784.jpg,0,a baby that is holding a bear posing for a picture
788.jpg,0 3,a man in a suit riding a motorcycle
789.jpg,0,a man giving a speech showing a picture of electronics
792.jpg,0,female tennis player on a court swinging at a ball
794.jpg,0 2,a pretty young lady talking on a cell phone while sitting on a field
796.jpg,0,a person snow barding down a snowy hill
798.jpg,0 14,a catcher holds up his glove as the batter swings his bat
802.jpg,0,a person on a beach flying a kite
803.jpg,7 2 4,an airplane loading or unloading passengers at an airport
807.jpg,0,a man watching another man taking food out of the oven with and oven mitt
808.jpg,0,person doing a skateboard trick on concrete stairs
810.jpg,0,a set of four pictures showing people eating hot dogs
813.jpg,3,a chrome laden orange motorcycle is on display
814.jpg,4,an airplane wing as seen from inside the aircraft
815.jpg,0 17,a picture of a brown dog sitting on the beach
817.jpg,9 6,a form of public transportation at an intersection
819.jpg,0,a group of baseball players standing on top of a field
820.jpg,0,the sun is shining on skiers going down a slope
822.jpg,0,small children stand on the snow ready to ski
824.jpg,4,a fighter jet is flying thru the sky
825.jpg,0,man and woman on skis standing on slope of snow
829.jpg,18,an old looking donkey carrying baskets on his back
831.jpg,0,a woman wearing tight jeans holding a game controller
832.jpg,0,a man looking at himself in a bathroom mirror
834.jpg,0,a group of skiers stand near a lodge at a snow resort
837.jpg,0 14,small child climbing on a bench on an outdoor promenade
840.jpg,0 3,several enlisted men admire a motorcycle in a housing area
841.jpg,0,a man riding down the side of a skateboard ramp
843.jpg,0 8,a man standing on stage while others watch him
846.jpg,0 17,a man sitting on top of a couch next to dog
847.jpg,16,a black and white kitty laying on its back sleeping in a bathroom sink
850.jpg,0,a tennis player trying to hit the ball
852.jpg,0,a man puts a glass with something green in it up to his mouth
854.jpg,0 17,a large open grass field with some tents
855.jpg,16 0,a persons foot is near a small kitten on some lawn
858.jpg,0,a boy in a suit with a red tie standing in a garden
860.jpg,0,a girl plays video games while standing up in her living room
862.jpg,0 18,a person riding a horse in field next to a barrier
863.jpg,0,a little girl tossing a blue frisbee standing on a  lush green field
864.jpg,8,big ben's clock tower and the london bridge at night
866.jpg,0 3,a mint green motorcycle with things hanging on it
869.jpg,0,a tennis player about to hit the tennis ball
871.jpg,2,a black laptop sits on a table near a window
872.jpg,0,a table topped with plates filled with breakfast foods
874.jpg,0,a girl is eating a long hotdog on a bun with ketchup
875.jpg,0,a group of people sit next to each other on a bus
879.jpg,0 4 8,some people who are watching an airplane fly over the ocean
880.jpg,7,a group of trucks that are lined up on the street
882.jpg,12,the graffiti on this stop sign denotes a positive impact
883.jpg,0,a group of people standing around a wooden table with bowls of food
886.jpg,7 0 4,there is a very large plane that is being boarded
887.jpg,7 2,back of truck on street carrying blue barrel
888.jpg,12,a red stop sign above a white traffic sign
889.jpg,6,a train is on a track next to a street lamp
891.jpg,0,a man stands on an elephant while in water
892.jpg,0 3,a man is riding on a painted elephant
894.jpg,0 14 6,ther e is a commuter train that is coming on the tracks
900.jpg,0,a man is riding on a surfboard at the beach
902.jpg,0,a couple walking down stairs after a wedding
904.jpg,0 9 6,a pole with some yellow lights in front of a narrow building
905.jpg,16,a dog standing next to a refrigerator freezer inside of a kitchen
908.jpg,0 5,a man in a helmet riding a skateboard down a hill
910.jpg,0,a couple of men standing in a room
912.jpg,0 17,a teenage boy is in a field looking at a wire
913.jpg,15,a hawk perched on the ledge of a building
915.jpg,0 2 14,people sitting in lawn chairs while holding tennis rackets
919.jpg,0 2 5 9 14,a woman that is walking with an umbrella
921.jpg,0,a person in a wheelchair dragging a blue suitcase
926.jpg,7 0 2 3,santa claus is riding a motorcycle down the street
928.jpg,0,these men are using their individual laptops during a presentation
929.jpg,0,a man holding a white surfboard on a beach
933.jpg,15,a couple of birds perched on top of a tall tree
935.jpg,0 17,a person feeds part of a biscuit to a hungry dog
936.jpg,0 17,a person sitting on a beach with some animals
939.jpg,0,the giraffe is eating from the hands of the spectators
942.jpg,9,a street sign that is on a pole for traffic lights
943.jpg,8 4 0,an old small plane sitting in water by the river's edge
944.jpg,0,a young woman on a surfboard surfing on a wave
946.jpg,0,a woman presenting cupcakes with lit candles to a baby
949.jpg,0,people walking through a path staring an with a city clock
950.jpg,15 0 1 14,a man performing a skateboard trick at a skate park
952.jpg,0,a group of young girls playing a game of soccer
953.jpg,17 18,a horse looking over a fence at a dog
955.jpg,15,a rooster stands in the grass adjacent to a road
957.jpg,0,a group of people are cutting into a large cake
959.jpg,0 1 12,a social occasion of people are uncovered before the open day
960.jpg,8,a sailboat with its sails down anchored in a harbor
961.jpg,17,a white dog sitting in a black chair
963.jpg,0,a number of people piled into a train
966.jpg,0,a man riding waves on his surfboard in the ocean
968.jpg,0,there are some men playing a game of baseball
970.jpg,10,a silver and red fire hydrant covered in snow
971.jpg,0,two woman are sitting at a table with food
973.jpg,0 1 9 6,people riding on the road in a blue transport train
974.jpg,0,a pizza sitting on top of a metal pizza pan
976.jpg,0 17,two people walking with surf boards and two dogs
978.jpg,0,a cross country skier on a path through the woods
980.jpg,7 8,the is a fire engine next to the golden gate bridge
982.jpg,0,two women wearing dressed holding hands with someone dressed up as a bear
984.jpg,0,a baseball player about to throw down his bat
987.jpg,0,a couple of women working on a smart device
989.jpg,0,a woman standing in a living room holding a wii controller next to a man
992.jpg,7 1 2,a close-up of the back of the blue truck with a painted mural
993.jpg,0,this man is holding a ball up to the camera
995.jpg,7 0 5,a hand dolly with several packages on it near a tractor trailer
996.jpg,9,the traffic light is clearly visible for us to see
999.jpg,0,someone is still in bed and wrapped in a blanket
1001.jpg,0,a sports person stretches to reach a ball
1005.jpg,0,a baseball player pitching a baseball on a field
1007.jpg,0 2 5 8,a double decker bus beside of a waterway with palm trees
1009.jpg,0 18,the man is sitting on a horse that is standing on a sidewalk
1010.jpg,7 0 4,a little girl on a chair watching planes through the window
1011.jpg,6,a train on tracks next to a large dirt field
1014.jpg,17,"atop an oriental rug rests a dog and two low-lying tables and a taller one
full of very tidily arranged piles of jeans and tops"
1018.jpg,0 9 2,a man flying through the air while riding a skateboard
1021.jpg,0 18,a parade float is getting ready for the parade
1023.jpg,0,two men standing next to a machine in a factory
1024.jpg,7 9 2,a couple of cars driving down a street under traffic lights
1026.jpg,0 16,a man lies on his back with a laptop on his stomach
1030.jpg,0,a man riding a paddle board on top of a large body of water
1032.jpg,0 18,the man is helping the child ride a pony
1033.jpg,0,a ocean that has some surfboards in water
1037.jpg,0,a person that has a plate of food and a drink
1039.jpg,8 0,a boat rides through the water next to a castle
1040.jpg,18,a horse with a coat on it is looking out its window 
1042.jpg,0,a baseball player holding a bat next to home plate
1044.jpg,2,a street sign indicating that the road curves
1046.jpg,0,people with plates getting food at a food line
1050.jpg,0,a couple of people standing at a counter with fruit
1051.jpg,0,a lady laying down on a bed with a book
1054.jpg,0,a group of skiers on skies gathered under a tree
1057.jpg,0,a computer is left open in a public place
1059.jpg,0,the woman is sitting on the couch watching the young child at the table
1061.jpg,7 0 13,it is difficult to say what this truck is being used for
1063.jpg,0,a group of children playing with frisbees outside
1064.jpg,2,a group of cows that are standing in the grass
1065.jpg,0 1 16,a woman and a man holding nintendo wii game controllers
1068.jpg,7 0 10,a dollar store with a truck parked in front of it
1071.jpg,0,two women with a big teddy bear in pajamas
